Beach Name,Water Temperature,Turbidity,Transducer Depth,Measurement ID
Ohio Street Beach,18.2,1.82,1.768,OhioStreetBeach201406260800
Rainbow Beach,18.9,2.02,1.61,RainbowBeach201406260800
Calumet Beach,19.5,1.03,1.491,CalumetBeach201406260900
63rd Street Beach,18.9,1.43,1.787,63rdStreetBeach201406260900
Montrose Beach,18.2,2.71,1.714,MontroseBeach201406260900
Osterman Beach,17.9,5.54,1.386,OstermanBeach201406260900
Ohio Street Beach,18.3,1.58,1.74,OhioStreetBeach201406260900
Rainbow Beach,18.9,1.86,1.583,RainbowBeach201406260900
Calumet Beach,19.5,1.15,1.545,CalumetBeach201406261000
63rd Street Beach,18.9,1.32,1.784,63rdStreetBeach201406261000
Montrose Beach,18.2,3.16,1.701,MontroseBeach201406261000
Osterman Beach,17.8,5.03,1.379,OstermanBeach201406261000
Ohio Street Beach,18.3,1.64,1.778,OhioStreetBeach201406261000
Calumet Beach,19.6,1.14,1.514,CalumetBeach201406261100
63rd Street Beach,19.1,1.38,1.842,63rdStreetBeach201406261100
Montrose Beach,18.3,3.43,1.739,MontroseBeach201406261100
Osterman Beach,17.8,4.79,1.425,OstermanBeach201406261100
Ohio Street Beach,18.4,1.61,1.808,OhioStreetBeach201406261100
Rainbow Beach,19,1.95,1.609,RainbowBeach201406261000
Calumet Beach,19.7,1.12,1.525,CalumetBeach201406261200
63rd Street Beach,19.2,1.16,1.81,63rdStreetBeach201406261200
Montrose Beach,18.3,3.36,1.684,MontroseBeach201406261200
Osterman Beach,18,3.98,1.367,OstermanBeach201406261200
Rainbow Beach,19.5,0.99,1.624,RainbowBeach201406270500
Rainbow Beach,18.8,0.71,1.511,RainbowBeach201406282000
Ohio Street Beach,18.7,1.39,1.759,OhioStreetBeach201406261200
Rainbow Beach,19.3,2.16,1.61,RainbowBeach201406261200
Calumet Beach,20.1,0.78,1.492,CalumetBeach201406261300
63rd Street Beach,19.5,1,1.817,63rdStreetBeach201406261300
Montrose Beach,18.5,3.57,1.718,MontroseBeach201406261300
Osterman Beach,18.2,3.96,1.397,OstermanBeach201406261300
Ohio Street Beach,18.9,1.31,1.794,OhioStreetBeach201406261300
Rainbow Beach,19.7,1.69,1.619,RainbowBeach201406261300
Calumet Beach,20.2,0.95,1.552,CalumetBeach201406261400
63rd Street Beach,19.7,1,1.861,63rdStreetBeach201406261400
Montrose Beach,18.7,3.32,1.742,MontroseBeach201406261400
Osterman Beach,18.4,4.22,1.417,OstermanBeach201406261400
Ohio Street Beach,19.2,1.07,1.821,OhioStreetBeach201406261400
Rainbow Beach,19.9,1.96,1.652,RainbowBeach201406261400
Calumet Beach,20.4,0.94,1.544,CalumetBeach201406261500
63rd Street Beach,19.9,1.06,1.79,63rdStreetBeach201406261500
Montrose Beach,19,3.26,1.69,MontroseBeach201406261500
Osterman Beach,18.6,4.49,1.365,OstermanBeach201406261500
Ohio Street Beach,19.7,1.49,1.75,OhioStreetBeach201406261500
Rainbow Beach,20.2,1.67,1.614,RainbowBeach201406261500
Calumet Beach,20.4,0.9,1.508,CalumetBeach201406261600
63rd Street Beach,20.1,0.99,1.8,63rdStreetBeach201406261600
Montrose Beach,19,3.36,1.68,MontroseBeach201406261600
Osterman Beach,18.7,4.27,1.364,OstermanBeach201406261600
Ohio Street Beach,19.6,1.52,1.783,OhioStreetBeach201406261600
Rainbow Beach,20.5,2.1,1.597,RainbowBeach201406261600
Calumet Beach,20.4,0.87,1.498,CalumetBeach201406261700
63rd Street Beach,20.2,1.08,1.794,63rdStreetBeach201406261700
Montrose Beach,19.1,3.16,1.675,MontroseBeach201406261700
Osterman Beach,18.7,4.03,1.372,OstermanBeach201406261700
Ohio Street Beach,19.8,1.53,1.754,OhioStreetBeach201406261700
Rainbow Beach,20.6,2.1,1.604,RainbowBeach201406261700
Calumet Beach,20.3,0.84,1.461,CalumetBeach201406261800
63rd Street Beach,21,1.89,1.78,63rdStreetBeach201406261800
Montrose Beach,19,3.13,1.703,MontroseBeach201406261800
Osterman Beach,18.8,4.23,1.376,OstermanBeach201406261800
Ohio Street Beach,19.7,1.26,1.718,OhioStreetBeach201406261800
Rainbow Beach,20.9,2.75,1.563,RainbowBeach201406261800
Calumet Beach,20.2,0.8,1.486,CalumetBeach201406261900
63rd Street Beach,20.9,1.88,1.712,63rdStreetBeach201406261900
Montrose Beach,19,2.98,1.661,MontroseBeach201406261900
Osterman Beach,18.7,3.94,1.34,OstermanBeach201406261900
Ohio Street Beach,19.7,1.36,1.696,OhioStreetBeach201406261900
Rainbow Beach,20.9,2.52,1.528,RainbowBeach201406261900
Calumet Beach,20.2,0.81,1.542,CalumetBeach201406262000
63rd Street Beach,21,1.77,1.795,63rdStreetBeach201406262000
Montrose Beach,18.9,2.95,1.684,MontroseBeach201406262000
Osterman Beach,18.7,4.29,1.355,OstermanBeach201406262000
Ohio Street Beach,19.7,1.33,1.715,OhioStreetBeach201406262000
Rainbow Beach,20.7,2.04,1.6,RainbowBeach201406262000
Calumet Beach,20.2,0.88,1.462,CalumetBeach201406262100
63rd Street Beach,20.7,1.52,1.758,63rdStreetBeach201406262100
Montrose Beach,18.9,2.81,1.666,MontroseBeach201406262100
Osterman Beach,18.7,4.19,1.341,OstermanBeach201406262100
Ohio Street Beach,19.5,1.11,1.69,OhioStreetBeach201406262100
Rainbow Beach,20.6,2.67,1.567,RainbowBeach201406262100
Calumet Beach,20.2,1.08,1.547,CalumetBeach201406262300
63rd Street Beach,20.4,1.32,1.806,63rdStreetBeach201406262300
Montrose Beach,18.8,2.83,1.66,MontroseBeach201406262300
Osterman Beach,18.6,3.65,1.365,OstermanBeach201406262300
Calumet Beach,20.1,0.92,1.502,CalumetBeach201406262200
63rd Street Beach,20.4,1.13,1.774,63rdStreetBeach201406262200
Montrose Beach,18.9,2.93,1.706,MontroseBeach201406262200
Osterman Beach,18.7,3.81,1.393,OstermanBeach201406262200
Ohio Street Beach,19.4,1.01,1.773,OhioStreetBeach201406262200
Rainbow Beach,20.5,2.55,1.606,RainbowBeach201406262200
Ohio Street Beach,19.2,0.99,1.714,OhioStreetBeach201406262300
Rainbow Beach,20.4,2.33,1.638,RainbowBeach201406262300
Calumet Beach,20.2,1.3,1.558,CalumetBeach201406272400
63rd Street Beach,20.2,1.5,1.793,63rdStreetBeach201406272400
Montrose Beach,18.8,2.59,1.737,MontroseBeach201406272400
Osterman Beach,18.6,3.6,1.419,OstermanBeach201406272400
Ohio Street Beach,19.1,0.9,1.786,OhioStreetBeach201406272400
Rainbow Beach,20.2,2.48,1.593,RainbowBeach201406272400
Calumet Beach,20,1.45,1.514,CalumetBeach201406270100
63rd Street Beach,20.1,1.2,1.815,63rdStreetBeach201406270100
Montrose Beach,18.9,2.17,1.662,MontroseBeach201406270100
Osterman Beach,18.5,3.43,1.349,OstermanBeach201406270100
Ohio Street Beach,19,0.92,1.757,OhioStreetBeach201406270100
Rainbow Beach,20,2.15,1.632,RainbowBeach201406270100
Calumet Beach,20,1.63,1.49,CalumetBeach201406270200
63rd Street Beach,20,1.11,1.837,63rdStreetBeach201406270200
Montrose Beach,19.2,2.27,1.704,MontroseBeach201406270200
Osterman Beach,18.5,3.43,1.376,OstermanBeach201406270200
Ohio Street Beach,19.1,1.46,1.775,OhioStreetBeach201406270200
Rainbow Beach,19.5,1.85,1.638,RainbowBeach201406270200
Calumet Beach,20,1.31,1.438,CalumetBeach201406270400
63rd Street Beach,19.8,1.24,1.788,63rdStreetBeach201406270400
Montrose Beach,18.6,2.17,1.7,MontroseBeach201406270400
Osterman Beach,18.4,3.3,1.378,OstermanBeach201406270400
Ohio Street Beach,18.9,1.44,1.73,OhioStreetBeach201406270400
Rainbow Beach,19.5,1.06,1.563,RainbowBeach201406270400
Calumet Beach,20,1.17,1.549,CalumetBeach201406270500
63rd Street Beach,19.5,0.88,1.802,63rdStreetBeach201406270500
Montrose Beach,18.5,2.23,1.672,MontroseBeach201406270500
Osterman Beach,18.3,3.58,1.361,OstermanBeach201406270500
Ohio Street Beach,18.7,0.64,1.747,OhioStreetBeach201406270500
Calumet Beach,19.9,1.13,1.529,CalumetBeach201406270600
63rd Street Beach,19.5,0.84,1.807,63rdStreetBeach201406270600
Montrose Beach,18.3,2.07,1.69,MontroseBeach201406270600
Osterman Beach,18.3,3.4,1.385,OstermanBeach201406270600
Ohio Street Beach,18.6,0.64,1.752,OhioStreetBeach201406270600
Rainbow Beach,19.4,0.95,1.599,RainbowBeach201406270600
Calumet Beach,19.9,1.08,1.452,CalumetBeach201406270700
63rd Street Beach,19.5,0.83,1.708,63rdStreetBeach201406270700
Montrose Beach,18.2,2.22,1.653,MontroseBeach201406270700
Osterman Beach,18.2,3.14,1.341,OstermanBeach201406270700
Ohio Street Beach,18.6,0.62,1.696,OhioStreetBeach201406270700
Rainbow Beach,19.4,0.93,1.534,RainbowBeach201406270700
Calumet Beach,20,1.05,1.52,CalumetBeach201406270800
63rd Street Beach,19.6,0.78,1.777,63rdStreetBeach201406270800
Montrose Beach,18.2,2,1.656,MontroseBeach201406270800
Osterman Beach,18.2,3.2,1.343,OstermanBeach201406270800
Ohio Street Beach,18.7,0.6,1.725,OhioStreetBeach201406270800
Rainbow Beach,19.4,0.86,1.601,RainbowBeach201406270800
Calumet Beach,20.2,0.97,1.494,CalumetBeach201406270900
63rd Street Beach,19.6,0.81,1.783,63rdStreetBeach201406270900
Montrose Beach,18.2,2.1,1.694,MontroseBeach201406270900
Osterman Beach,18.3,2.83,1.38,OstermanBeach201406270900
Ohio Street Beach,18.8,0.6,1.74,OhioStreetBeach201406270900
Rainbow Beach,19.6,0.76,1.582,RainbowBeach201406270900
Calumet Beach,20.3,1.2,1.518,CalumetBeach201406271000
63rd Street Beach,19.8,0.79,1.795,63rdStreetBeach201406271000
Montrose Beach,18.4,1.83,1.657,MontroseBeach201406271000
Osterman Beach,18.6,2.72,1.345,OstermanBeach201406271000
Ohio Street Beach,19,0.67,1.758,OhioStreetBeach201406271000
Rainbow Beach,19.8,0.75,1.602,RainbowBeach201406271000
Calumet Beach,20.8,1.13,1.476,CalumetBeach201406271100
63rd Street Beach,20.1,0.67,1.791,63rdStreetBeach201406271100
Montrose Beach,18.8,1.68,1.729,MontroseBeach201406271100
Osterman Beach,19,2.61,1.414,OstermanBeach201406271100
Ohio Street Beach,19.3,0.57,1.762,OhioStreetBeach201406271100
Rainbow Beach,20.3,0.67,1.605,RainbowBeach201406271100
Calumet Beach,21.1,1.1,1.54,CalumetBeach201406271200
63rd Street Beach,20.3,0.63,1.768,63rdStreetBeach201406271200
Montrose Beach,19,1.36,1.686,MontroseBeach201406271200
Osterman Beach,19.3,2.68,1.365,OstermanBeach201406271200
Ohio Street Beach,20,0.58,1.749,OhioStreetBeach201406271200
Rainbow Beach,20.6,0.73,1.586,RainbowBeach201406271200
Calumet Beach,21.6,1.16,1.512,CalumetBeach201406271300
63rd Street Beach,20.6,0.72,1.802,63rdStreetBeach201406271300
Montrose Beach,19.4,1.25,1.726,MontroseBeach201406271300
Osterman Beach,19.7,2.68,1.406,OstermanBeach201406271300
Ohio Street Beach,21,1.6,1.799,OhioStreetBeach201406271300
Rainbow Beach,21,0.7,1.615,RainbowBeach201406271300
Calumet Beach,22.2,1.24,1.521,CalumetBeach201406271400
63rd Street Beach,21,0.82,1.804,63rdStreetBeach201406271400
Montrose Beach,20,1.71,1.69,MontroseBeach201406271400
Osterman Beach,20.2,2.77,1.389,OstermanBeach201406271400
Ohio Street Beach,20.8,0.8,1.735,OhioStreetBeach201406271400
Rainbow Beach,21.4,0.99,1.622,RainbowBeach201406271400
Calumet Beach,21.3,0.9,1.545,CalumetBeach201406271500
63rd Street Beach,21.3,0.72,1.827,63rdStreetBeach201406271500
Montrose Beach,21,1.93,1.725,MontroseBeach201406271500
Osterman Beach,20.7,2.89,1.397,OstermanBeach201406271500
Ohio Street Beach,21.6,0.69,1.783,OhioStreetBeach201406271500
Rainbow Beach,22.6,1.95,1.623,RainbowBeach201406271500
Calumet Beach,21.1,0.88,1.494,CalumetBeach201406271600
63rd Street Beach,22.6,1.49,1.794,63rdStreetBeach201406271600
Montrose Beach,21.5,1.79,1.677,MontroseBeach201406271600
Osterman Beach,21.8,3.19,1.372,OstermanBeach201406271600
Ohio Street Beach,21.6,0.85,1.743,OhioStreetBeach201406271600
Rainbow Beach,21.8,0.9,1.588,RainbowBeach201406271600
Calumet Beach,21.4,0.83,1.463,CalumetBeach201406271700
63rd Street Beach,21.7,0.77,1.737,63rdStreetBeach201406271700
Montrose Beach,20.7,1.44,1.662,MontroseBeach201406271700
Osterman Beach,20.8,2.92,1.337,OstermanBeach201406271700
Ohio Street Beach,20.9,0.99,1.728,OhioStreetBeach201406271700
Rainbow Beach,21.6,0.81,1.564,RainbowBeach201406271700
Calumet Beach,21.5,0.89,1.496,CalumetBeach201406271800
63rd Street Beach,21.5,0.59,1.816,63rdStreetBeach201406271800
Montrose Beach,20.1,1.04,1.683,MontroseBeach201406271800
Osterman Beach,20.3,2.62,1.374,OstermanBeach201406271800
Ohio Street Beach,20.8,1.08,1.718,OhioStreetBeach201406271800
Rainbow Beach,21,0.74,1.621,RainbowBeach201406271800
Calumet Beach,21.5,0.89,1.437,CalumetBeach201406271900
63rd Street Beach,20.9,0.58,1.723,63rdStreetBeach201406271900
Montrose Beach,20,0.92,1.615,MontroseBeach201406271900
Osterman Beach,20.2,2.65,1.31,OstermanBeach201406271900
Ohio Street Beach,20.4,1.13,1.694,OhioStreetBeach201406271900
Rainbow Beach,20.6,0.81,1.517,RainbowBeach201406271900
Calumet Beach,21.5,0.86,1.463,CalumetBeach201406272000
63rd Street Beach,20.6,0.56,1.765,63rdStreetBeach201406272000
Montrose Beach,19.4,0.96,1.704,MontroseBeach201406272000
Osterman Beach,20.2,2.58,1.383,OstermanBeach201406272000
Ohio Street Beach,19.7,0.95,1.724,OhioStreetBeach201406272000
Rainbow Beach,20.1,0.76,1.576,RainbowBeach201406272000
Calumet Beach,21.8,1.17,1.472,CalumetBeach201406272100
63rd Street Beach,20.6,0.51,1.74,63rdStreetBeach201406272100
Montrose Beach,19.1,0.86,1.611,MontroseBeach201406272100
Osterman Beach,20.1,2.62,1.271,OstermanBeach201406272100
Ohio Street Beach,20,1.23,1.696,OhioStreetBeach201406272100
Rainbow Beach,19.8,0.7,1.544,RainbowBeach201406272100
Calumet Beach,21.4,1.04,1.48,CalumetBeach201406272200
63rd Street Beach,20.1,0.57,1.776,63rdStreetBeach201406272200
Montrose Beach,18.7,0.78,1.711,MontroseBeach201406272200
Osterman Beach,19.8,2.43,1.386,OstermanBeach201406272200
Ohio Street Beach,19.5,0.73,1.75,OhioStreetBeach201406272200
Rainbow Beach,19.5,0.65,1.598,RainbowBeach201406272200
Calumet Beach,21.1,0.94,1.519,CalumetBeach201406272300
63rd Street Beach,19.5,0.57,1.786,63rdStreetBeach201406272300
Montrose Beach,18.2,0.66,1.645,MontroseBeach201406272300
Osterman Beach,19.2,2.11,1.317,OstermanBeach201406272300
Ohio Street Beach,19.3,0.88,1.704,OhioStreetBeach201406272300
Rainbow Beach,19.4,0.69,1.592,RainbowBeach201406272300
Calumet Beach,20.4,0.96,1.49,CalumetBeach201406280700
63rd Street Beach,19.2,0.42,1.784,63rdStreetBeach201406280700
Montrose Beach,17.4,0.3,1.687,MontroseBeach201406280700
Osterman Beach,17.4,0.78,1.358,OstermanBeach201406280700
Ohio Street Beach,19.1,1.14,1.75,OhioStreetBeach201406280700
Rainbow Beach,19,0.61,1.592,RainbowBeach201406280700
Calumet Beach,20.3,0.84,1.503,CalumetBeach201406280800
63rd Street Beach,19.2,0.42,1.766,63rdStreetBeach201406280800
Montrose Beach,17.4,0.24,1.647,MontroseBeach201406280800
Osterman Beach,17.4,0.64,1.318,OstermanBeach201406280800
Ohio Street Beach,19.1,1.29,1.72,OhioStreetBeach201406280800
Rainbow Beach,19,0.67,1.565,RainbowBeach201406280800
Calumet Beach,20.8,0.86,1.501,CalumetBeach201406282400
63rd Street Beach,19.3,0.46,1.796,63rdStreetBeach201406282400
Montrose Beach,17.8,0.62,1.75,MontroseBeach201406282400
Osterman Beach,18.3,1.69,1.435,OstermanBeach201406282400
Ohio Street Beach,19.1,0.74,1.784,OhioStreetBeach201406282400
Rainbow Beach,19.2,0.62,1.61,RainbowBeach201406282400
Calumet Beach,20.9,1.01,1.527,CalumetBeach201406280100
63rd Street Beach,19.3,0.47,1.815,63rdStreetBeach201406280100
Montrose Beach,17.6,0.55,1.701,MontroseBeach201406280100
Osterman Beach,18,1.44,1.395,OstermanBeach201406280100
Ohio Street Beach,19.1,0.82,1.75,OhioStreetBeach201406280100
Rainbow Beach,19.2,0.62,1.604,RainbowBeach201406280100
Calumet Beach,21.1,1.16,1.542,CalumetBeach201406280200
63rd Street Beach,19.4,0.5,1.801,63rdStreetBeach201406280200
Montrose Beach,17.5,0.51,1.74,MontroseBeach201406280200
Osterman Beach,17.9,1.14,1.413,OstermanBeach201406280200
Ohio Street Beach,19.1,0.75,1.768,OhioStreetBeach201406280200
Rainbow Beach,19.1,0.69,1.622,RainbowBeach201406280200
Calumet Beach,21.1,1.1,1.514,CalumetBeach201406280300
63rd Street Beach,19.4,0.52,1.807,63rdStreetBeach201406280300
Montrose Beach,17.5,0.49,1.704,MontroseBeach201406280300
Osterman Beach,17.8,0.95,1.389,OstermanBeach201406280300
Ohio Street Beach,19.1,0.72,1.736,OhioStreetBeach201406280300
Rainbow Beach,19.1,0.71,1.621,RainbowBeach201406280300
Calumet Beach,20.9,0.94,1.544,CalumetBeach201406280400
63rd Street Beach,19.4,0.54,1.826,63rdStreetBeach201406280400
Montrose Beach,17.6,0.39,1.694,MontroseBeach201406280400
Osterman Beach,17.7,0.86,1.368,OstermanBeach201406280400
Ohio Street Beach,19.1,0.91,1.748,OhioStreetBeach201406280400
Rainbow Beach,19,0.65,1.603,RainbowBeach201406280400
Calumet Beach,21,0.72,1.491,CalumetBeach201406281300
63rd Street Beach,19.6,0.45,1.798,63rdStreetBeach201406281300
Montrose Beach,18.2,0.2,1.717,MontroseBeach201406281300
Osterman Beach,18.4,0.82,1.388,OstermanBeach201406281300
Ohio Street Beach,20.1,1.73,1.792,OhioStreetBeach201406281300
Rainbow Beach,19.4,0.7,1.595,RainbowBeach201406281300
Calumet Beach,20.8,1.06,1.469,CalumetBeach201406280500
63rd Street Beach,19.6,0.74,1.752,63rdStreetBeach201406280500
Montrose Beach,17.5,0.38,1.674,MontroseBeach201406280500
Osterman Beach,17.4,0.81,1.362,OstermanBeach201406280500
Ohio Street Beach,19.1,1.06,1.733,OhioStreetBeach201406280500
Rainbow Beach,19,0.62,1.563,RainbowBeach201406280500
Calumet Beach,20.5,1.16,1.494,CalumetBeach201406280600
63rd Street Beach,19.3,0.49,1.78,63rdStreetBeach201406280600
Montrose Beach,17.4,0.3,1.669,MontroseBeach201406280600
Osterman Beach,17.4,0.9,1.356,OstermanBeach201406280600
Ohio Street Beach,19.1,1.23,1.75,OhioStreetBeach201406280600
Rainbow Beach,19,0.58,1.579,RainbowBeach201406280600
Calumet Beach,21.4,0.75,1.519,CalumetBeach201406281400
63rd Street Beach,20.1,0.36,1.801,63rdStreetBeach201406281400
Montrose Beach,18.3,0.31,1.699,MontroseBeach201406281400
Osterman Beach,18.3,1.05,1.377,OstermanBeach201406281400
Ohio Street Beach,20,1.89,1.79,OhioStreetBeach201406281400
Calumet Beach,20.2,0.78,1.505,CalumetBeach201406280900
63rd Street Beach,19.2,0.38,1.762,63rdStreetBeach201406280900
Montrose Beach,17.6,0.24,1.69,MontroseBeach201406280900
Osterman Beach,17.6,0.63,1.355,OstermanBeach201406280900
Ohio Street Beach,19.4,1.36,1.75,OhioStreetBeach201406280900
Rainbow Beach,19.1,0.65,1.575,RainbowBeach201406280900
Calumet Beach,20.3,0.78,1.498,CalumetBeach201406281000
63rd Street Beach,19.2,0.39,1.799,63rdStreetBeach201406281000
Montrose Beach,17.8,0.24,1.642,MontroseBeach201406281000
Osterman Beach,17.7,0.64,1.317,OstermanBeach201406281000
Ohio Street Beach,19.5,1.49,1.723,OhioStreetBeach201406281000
Rainbow Beach,19.1,0.57,1.61,RainbowBeach201406281000
Calumet Beach,20.5,0.78,1.467,CalumetBeach201406281100
63rd Street Beach,19.3,0.46,1.79,63rdStreetBeach201406281100
Montrose Beach,17.9,0.17,1.692,MontroseBeach201406281100
Osterman Beach,17.7,0.66,1.356,OstermanBeach201406281100
Ohio Street Beach,19.7,1.44,1.762,OhioStreetBeach201406281100
Calumet Beach,20.8,0.72,1.493,CalumetBeach201406281200
63rd Street Beach,19.4,0.38,1.786,63rdStreetBeach201406281200
Montrose Beach,18,0.17,1.663,MontroseBeach201406281200
Osterman Beach,17.9,0.85,1.356,OstermanBeach201406281200
Ohio Street Beach,20,1.57,1.76,OhioStreetBeach201406281200
Rainbow Beach,19.2,0.59,1.6,RainbowBeach201406281200
Calumet Beach,21.1,0.79,1.466,CalumetBeach201406281500
63rd Street Beach,19.4,0.55,1.745,63rdStreetBeach201406281500
Montrose Beach,18.4,0.28,1.679,MontroseBeach201406281500
Osterman Beach,18.6,1.09,1.376,OstermanBeach201406281500
Ohio Street Beach,19.9,1.86,1.735,OhioStreetBeach201406281500
Rainbow Beach,19.3,0.71,1.566,RainbowBeach201406281500
Calumet Beach,21.2,0.86,1.492,CalumetBeach201406281600
63rd Street Beach,19.4,0.61,1.759,63rdStreetBeach201406281600
Montrose Beach,18.5,0.22,1.665,MontroseBeach201406281600
Osterman Beach,18.7,0.86,1.349,OstermanBeach201406281600
Ohio Street Beach,20.2,1.84,1.752,OhioStreetBeach201406281600
Rainbow Beach,19.4,0.74,1.552,RainbowBeach201406281600
Calumet Beach,21.4,0.87,1.449,CalumetBeach201406281700
63rd Street Beach,19.3,0.61,1.757,63rdStreetBeach201406281700
Montrose Beach,18.5,0.26,1.662,MontroseBeach201406281700
Osterman Beach,19.1,0.69,1.343,OstermanBeach201406281700
Ohio Street Beach,20.6,2.13,1.737,OhioStreetBeach201406281700
Rainbow Beach,19.2,0.78,1.565,RainbowBeach201406281700
Calumet Beach,21.3,0.78,1.475,CalumetBeach201406281800
63rd Street Beach,19.5,0.5,1.77,63rdStreetBeach201406281800
Montrose Beach,18.5,0.24,1.651,MontroseBeach201406281800
Osterman Beach,19,0.8,1.327,OstermanBeach201406281800
Ohio Street Beach,20.2,1.7,1.719,OhioStreetBeach201406281800
Rainbow Beach,19.1,0.78,1.579,RainbowBeach201406281800
Calumet Beach,21.3,0.82,1.454,CalumetBeach201406281900
63rd Street Beach,19.5,0.53,1.774,63rdStreetBeach201406281900
Montrose Beach,18.5,0.21,1.647,MontroseBeach201406281900
Osterman Beach,19,0.89,1.344,OstermanBeach201406281900
Ohio Street Beach,20.2,1.56,1.751,OhioStreetBeach201406281900
Rainbow Beach,18.9,0.86,1.556,RainbowBeach201406281900
Calumet Beach,21.2,0.78,1.422,CalumetBeach201406282000
63rd Street Beach,19.7,0.5,1.747,63rdStreetBeach201406282000
Montrose Beach,18.4,0.24,1.61,MontroseBeach201406282000
Osterman Beach,19,0.86,1.312,OstermanBeach201406282000
Ohio Street Beach,20.1,1.64,1.673,OhioStreetBeach201406282000
Calumet Beach,21.1,0.78,1.473,CalumetBeach201406282100
63rd Street Beach,19.4,0.44,1.732,63rdStreetBeach201406282100
Montrose Beach,18.4,0.27,1.605,MontroseBeach201406282100
Osterman Beach,18.9,0.99,1.291,OstermanBeach201406282100
Ohio Street Beach,20,1.41,1.683,OhioStreetBeach201406282100
Rainbow Beach,18.6,0.71,1.541,RainbowBeach201406282100
Calumet Beach,21.1,0.84,1.475,CalumetBeach201406282300
63rd Street Beach,19.2,0.48,1.755,63rdStreetBeach201406282300
Montrose Beach,18.5,0.25,1.695,MontroseBeach201406282300
Osterman Beach,18.8,0.99,1.355,OstermanBeach201406282300
Ohio Street Beach,19.8,1.64,1.704,OhioStreetBeach201406282300
Rainbow Beach,18.6,0.71,1.591,RainbowBeach201406282300
Calumet Beach,21.1,0.77,1.384,CalumetBeach201406282200
63rd Street Beach,19.3,0.52,1.675,63rdStreetBeach201406282200
Montrose Beach,18.4,0.28,1.628,MontroseBeach201406282200
Osterman Beach,18.9,0.71,1.307,OstermanBeach201406282200
Ohio Street Beach,19.9,1.43,1.673,OhioStreetBeach201406282200
Rainbow Beach,18.6,0.72,1.48,RainbowBeach201406282200
Calumet Beach,21.1,0.81,1.463,CalumetBeach201406292400
63rd Street Beach,19.1,0.47,1.752,63rdStreetBeach201406292400
Montrose Beach,18.5,0.23,1.664,MontroseBeach201406292400
Osterman Beach,18.8,0.82,1.338,OstermanBeach201406292400
Ohio Street Beach,19.8,1.42,1.751,OhioStreetBeach201406292400
Rainbow Beach,18.5,0.72,1.545,RainbowBeach201406292400
Calumet Beach,21.1,0.86,1.473,CalumetBeach201406290100
63rd Street Beach,19.1,0.58,1.816,63rdStreetBeach201406290100
Montrose Beach,18.5,0.24,1.588,MontroseBeach201406290100
Osterman Beach,18.6,0.67,1.263,OstermanBeach201406290100
Ohio Street Beach,19.9,1.53,1.668,OhioStreetBeach201406290100
Rainbow Beach,18.3,0.76,1.607,RainbowBeach201406290100
Calumet Beach,21,0.93,1.481,CalumetBeach201406290200
63rd Street Beach,19.2,0.45,1.808,63rdStreetBeach201406290200
Montrose Beach,18.5,0.28,1.682,MontroseBeach201406290200
Osterman Beach,18.6,0.62,1.358,OstermanBeach201406290200
Ohio Street Beach,19.8,1.49,1.77,OhioStreetBeach201406290200
Rainbow Beach,18.2,0.75,1.584,RainbowBeach201406290200
Calumet Beach,20.9,0.98,1.428,CalumetBeach201406290300
63rd Street Beach,19.2,0.6,1.685,63rdStreetBeach201406290300
Montrose Beach,18.5,0.24,1.64,MontroseBeach201406290300
Osterman Beach,18.7,0.55,1.316,OstermanBeach201406290300
Ohio Street Beach,19.7,1.54,1.694,OhioStreetBeach201406290300
Rainbow Beach,18.1,0.66,1.48,RainbowBeach201406290300
Calumet Beach,20.8,0.92,1.466,CalumetBeach201406290400
63rd Street Beach,19.2,0.42,1.725,63rdStreetBeach201406290400
Montrose Beach,18.6,0.2,1.668,MontroseBeach201406290400
Osterman Beach,18.8,0.7,1.346,OstermanBeach201406290400
Ohio Street Beach,19.8,1.6,1.682,OhioStreetBeach201406290400
Rainbow Beach,18.1,0.67,1.553,RainbowBeach201406290400
Calumet Beach,20.8,0.89,1.439,CalumetBeach201406290500
63rd Street Beach,19.2,0.55,1.699,63rdStreetBeach201406290500
Montrose Beach,18.6,0.18,1.63,MontroseBeach201406290500
Osterman Beach,18.7,0.73,1.312,OstermanBeach201406290500
Ohio Street Beach,19.8,1.33,1.69,OhioStreetBeach201406290500
Rainbow Beach,18.1,0.68,1.499,RainbowBeach201406290500
Calumet Beach,20.7,0.85,1.363,CalumetBeach201406290600
63rd Street Beach,19.2,0.38,1.648,63rdStreetBeach201406290600
Montrose Beach,18.6,0.21,1.558,MontroseBeach201406290600
Osterman Beach,18.8,0.54,1.23,OstermanBeach201406290600
Ohio Street Beach,19.7,1.46,1.622,OhioStreetBeach201406290600
Rainbow Beach,18,0.64,1.459,RainbowBeach201406290600
Calumet Beach,20.7,0.82,1.413,CalumetBeach201406290700
63rd Street Beach,19.2,0.4,1.708,63rdStreetBeach201406290700
Montrose Beach,18.7,0.29,1.609,MontroseBeach201406290700
Osterman Beach,18.8,0.64,1.29,OstermanBeach201406290700
Ohio Street Beach,19.8,1.45,1.685,OhioStreetBeach201406290700
Rainbow Beach,18,0.62,1.506,RainbowBeach201406290700
Calumet Beach,20.7,0.82,1.365,CalumetBeach201406290800
63rd Street Beach,19.3,0.36,1.674,63rdStreetBeach201406290800
